Regiao,Genero,Tratamento,Outcome,N,ACME_treated,ACME_treated_ci_lo,ACME_treated_ci_hi,ACME_control,ACME_control_ci_lo,ACME_control_ci_hi,ACME_avg,ACME_avg_ci_lo,ACME_avg_ci_hi,ADE_treated,ADE_treated_ci_lo,ADE_treated_ci_hi,ADE_control,ADE_control_ci_lo,ADE_control_ci_hi,ADE_avg,ADE_avg_ci_lo,ADE_avg_ci_hi,Total_effect,Total_effect_ci_lo,Total_effect_ci_hi,Prop_mediated,Prop_mediated_ci_lo,Prop_mediated_ci_hi
Norte,Filhos,PAI_FUNDAMENTAL,LP,19276,0.3640910972427054,0.25303809708653113,0.4655374095273253,0.36409109724270544,0.2530380970865312,0.46553740952732536,0.3640910972427054,0.2530380970865312,0.46553740952732536,3.1658934159371896,2.3153696073552865,4.396411572355032,3.1658934159371896,2.3153696073552865,4.396411572355032,3.1658934159371896,2.3153696073552865,4.396411572355032,3.529984513179895,2.6623237970662292,4.802582183093888,0.10314240639960298,0.07118948440047068,0.14124259298353228
Norte,Filhas,PAI_FUNDAMENTAL,LP,16650,0.2849655294486153,0.18466817584428388,0.3728189370739518,0.2849655294486153,0.18466817584428386,0.37281893707395175,0.2849655294486153,0.18466817584428386,0.3728189370739518,3.620761601181704,2.329690632235221,5.063202745123473,3.620761601181704,2.329690632235221,5.063202745123474,3.620761601181704,2.329690632235221,5.063202745123474,3.905727130630319,2.688006447851467,5.335289796445348,0.07296094169349374,0.041756558820299265,0.1336513763968997
Nordeste,Filhos,PAI_FUNDAMENTAL,LP,48738,0.1686597709589953,0.09522317463794636,0.2130381805222043,0.16865977095899526,0.09522317463794638,0.2130381805222043,0.16865977095899526,0.09522317463794637,0.2130381805222043,3.173404341635846,1.5630245045485496,4.787107643841356,3.173404341635846,1.5630245045485496,4.787107643841356,3.173404341635846,1.5630245045485496,4.787107643841356,3.342064112594841,1.7168503520809337,4.951618996506669,0.0504657496914518,0.026637662941982665,0.09665713723525887
Nordeste,Filhas,PAI_FUNDAMENTAL,LP,41979,0.3392127778838723,0.24690175103346815,0.5421362620484644,0.33921277788387233,0.24690175103346826,0.5421362620484644,0.3392127778838723,0.24690175103346823,0.5421362620484644,3.6404905643640366,2.9021458700941154,5.541438211553261,3.6404905643640366,2.9021458700941154,5.541438211553262,3.6404905643640366,2.9021458700941154,5.541438211553262,3.979703342247909,3.26823267254406,5.873480336709943,0.08523569440034447,0.04976220528935798,0.12363435666758908
Sudeste,Filhos,PAI_FUNDAMENTAL,LP,67179,0.14298698049670633,0.055414895556910586,0.2360500788407592,0.1429869804967063,0.05541489555691021,0.23605007884075913,0.14298698049670633,0.0554148955569104,0.23605007884075915,1.9710489819135995,0.18096945226866173,3.106474636109468,1.9710489819135995,0.18096945226866162,3.106474636109468,1.9710489819135995,0.18096945226866168,3.106474636109468,2.1140359624103056,0.30186585176381187,3.2973547321958687,0.06763696693867051,0.021412350323000595,0.6354380941354474
Sudeste,Filhas,PAI_FUNDAMENTAL,LP,60740,0.048956922496759106,-0.04211961983612682,0.20378454268832644,0.04895692249675916,-0.042119619836126686,0.20378454268832638,0.048956922496759134,-0.04211961983612675,0.2037845426883264,4.400512323080797,2.0547689931838953,5.666735452900974,4.400512323080797,2.0547689931838953,5.666735452900974,4.400512323080797,2.0547689931838953,5.666735452900974,4.449469245577556,2.1611999115956193,5.663591162401867,0.011002867936533935,-0.010147456332446805,0.06008597915031493
Sul,Filhos,PAI_FUNDAMENTAL,LP,31051,0.07508345287982367,-0.07388239001488295,0.2072997695214563,0.07508345287982371,-0.07388239001488289,0.2072997695214564,0.07508345287982368,-0.07388239001488293,0.20729976952145635,2.336632548254883,0.5760922473697757,4.828096137811835,2.336632548254883,0.5760922473697756,4.828096137811835,2.336632548254883,0.5760922473697756,4.828096137811835,2.4117160011347067,0.6402717911250906,4.990455654944339,0.03113279210508082,-0.03923386021640534,0.1385246847885107
Sul,Filhas,PAI_FUNDAMENTAL,LP,27479,0.12712843604759547,0.03960813533833413,0.28637348096312376,0.12712843604759558,0.039608135338334266,0.28637348096312365,0.12712843604759552,0.0396081353383342,0.2863734809631237,2.35100845334772,-0.21006533305144298,5.627834104283771,2.35100845334772,-0.21006533305144293,5.62783410428377,2.35100845334772,-0.21006533305144295,5.627834104283771,2.4781368893953157,-0.0945753691871326,5.761487469054578,0.051300005496716455,-0.14159832705785969,10.5039363887363
Centro-Oeste,Filhos,PAI_FUNDAMENTAL,LP,15924,0.4351651628782531,0.23006852305484463,0.655519105210159,0.4351651628782531,0.23006852305484454,0.655519105210159,0.4351651628782531,0.2300685230548446,0.655519105210159,1.2303798609198062,-0.819054027902052,2.4462778911080836,1.2303798609198064,-0.8190540279020517,2.4462778911080836,1.2303798609198062,-0.8190540279020518,2.4462778911080836,1.6655450237980594,-0.3632394621096191,2.802027261560673,0.2612749320255032,-4.745053148604533,1.2454749562351122
Centro-Oeste,Filhas,PAI_FUNDAMENTAL,LP,14006,0.18007906654849934,0.04233866288270556,0.3085736870257234,0.1800790665484991,0.04233866288270567,0.30857368702572335,0.1800790665484992,0.042338662882705616,0.30857368702572335,4.224273315255725,1.9826174850172777,6.439338056338432,4.224273315255724,1.9826174850172782,6.439338056338432,4.224273315255724,1.9826174850172777,6.439338056338432,4.404352381804223,2.1076419219056017,6.711871067803314,0.040886616450687044,0.01135760485195162,0.09689967397399038
Norte,Filhos,PAI_FUNDAMENTAL,MT,19276,0.48329393315864666,0.3598223989579804,0.6050051203923964,0.4832939331586472,0.35982239895798035,0.6050051203923965,0.48329393315864694,0.3598223989579804,0.6050051203923964,2.4736336597749577,1.4640124407110275,3.869236850591574,2.473633659774959,1.4640124407110278,3.869236850591574,2.4736336597749586,1.4640124407110278,3.869236850591574,2.9569275929336056,1.9838210332644504,4.311071966682381,0.16344462891604486,0.10291399443181189,0.2629774513866993
